Response_ID,Employee_ID,Survey_Round,Milestone,Driver,Score,Comment,Submitted_At,sentiment,x_confidential,manager_response_days
PK-5231,EMP7101,Day 30,Day 30,Belonging,2,Workload is heavy and I am not sure my manager notices.,Jun 3 2026,negative,false,2
PK-5232,EMP7102,Day 7,Day 7,Onboarding,8,Minor delays with access but resolved.,2026-06-20 00:00:00,neutral,false,
PK-5233,EMP7103,Day 7,Day 7,Onboarding,9,Smooth onboarding.,2026-05-29 00:00:00,positive,false,
PK-5234,EMP7103,Day 30,Day 30,Belonging,,,,,false,
PK-5235,EMP7104,Day 7,Day 7,Onboarding,7,Enjoying the projects.,23/05/2026,positive,false,
PK-5236,EMP7104,Day 30,Day 30,Belonging,8,"Good start, team is welcoming.",Jun 20 2026,positive,false,
PK-5237,EMP7105,Day 7,Day 7,Onboarding,3,Honestly I feel disconnected and unsure this role is the right fit. Not much has clicked.,2026-08-09 00:00:00,negative,false,1
PK-5238,EMP7106,Day 7,Day 7,Onboarding,9,Smooth onboarding.,2026-08-09 00:00:00,positive,false,
PK-5239,EMP7107,Day 7,Day 7,Onboarding,8,Enjoying the projects.,2026-06-02 00:00:00,positive,false,
PK-5240,EMP7107,Day 30,Day 30,Belonging,8,"Good start, team is welcoming.",17/06/2026,positive,false,
PK-5241,EMP7108,Day 7,Day 7,Onboarding,7,"Clear enough, still learning.",Aug 23 2026,neutral,false,
PK-5242,EMP7109,Day 7,Day 7,Onboarding,10,Would like more 1:1 time.,2026-06-13 00:00:00,neutral,false,
PK-5243,EMP7109,Day 30,Day 30,Belonging,8,Would like more 1:1 time.,2026-07-07 00:00:00,neutral,false,
PK-5244,EMP7110,Day 7,Day 7,Onboarding,10,Enjoying the projects.,2026-08-04 00:00:00,positive,false,
PK-5245,EMP7110,Day 30,Day 30,Belonging,3,Honestly I feel disconnected and unsure this role is the right fit. Not much has clicked.,29/08/2026,negative,false,5
PK-5246,EMP7110,Day 60,Day 60,Role Clarity,6,Would like more 1:1 time.,Oct 4 2026,neutral,false,
PK-5247,EMP7111,Day 7,Day 7,Onboarding,7,"Good start, team is welcoming.",2026-06-27 00:00:00,positive,false,
PK-5248,EMP7111,Day 30,Day 30,Belonging,3,I keep chasing IT for access and it is wearing me down.,2026-07-17 00:00:00,negative,false,3
PK-5249,EMP7112,Day 7,Day 7,Onboarding,8,Smooth onboarding.,2026-07-24 00:00:00,positive,false,
PK-5250,EMP7113,Day 7,Day 7,Onboarding,8,Smooth onboarding.,18/07/2026,positive,false,
PK-5251,EMP7113,Day 30,Day 30,Belonging,,,,,false,
PK-5252,EMP7113,Day 60,Day 60,Role Clarity,6,"Good start, team is welcoming.",2026-09-16 00:00:00,positive,false,
PK-5253,EMP7114,Day 7,Day 7,Onboarding,8,Enjoying the projects.,2026-07-26 00:00:00,positive,false,
PK-5254,EMP7115,Day 7,Day 7,Onboarding,7,Would like more 1:1 time.,2026-08-05 00:00:00,neutral,false,
PK-5255,EMP7115,Day 30,Day 30,Belonging,6,"Clear enough, still learning.",31/08/2026,neutral,false,
PK-5256,EMP7116,Day 7,Day 7,Onboarding,,,,,false,
PK-5257,EMP7116,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,2026-07-28 00:00:00,neutral,false,
PK-5258,EMP7116,Day 60,Day 60,Role Clarity,7,Smooth onboarding.,2026-08-26 00:00:00,positive,false,
PK-5259,EMP7117,Day 7,Day 7,Onboarding,10,Would like more 1:1 time.,2026-06-17 00:00:00,neutral,false,
PK-5260,EMP7117,Day 30,Day 30,Belonging,9,Smooth onboarding.,07/07/2026,positive,false,
PK-5261,EMP7118,Day 7,Day 7,Onboarding,9,Smooth onboarding.,Aug 14 2026,positive,false,
PK-5262,EMP7118,Day 30,Day 30,Belonging,7,"Clear enough, still learning.",2026-09-07 00:00:00,neutral,false,
PK-5263,EMP7119,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",2026-07-22 00:00:00,neutral,false,
PK-5264,EMP7120,Day 7,Day 7,Onboarding,6,Enjoying the projects.,2026-06-14 00:00:00,positive,false,
PK-5265,EMP7121,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",08/06/2026,neutral,false,
PK-5266,EMP7121,Day 30,Day 30,Belonging,9,Minor delays with access but resolved.,Jul 2 2026,neutral,false,
PK-5267,EMP7122,Day 7,Day 7,Onboarding,6,"Clear enough, still learning.",2026-08-18 00:00:00,neutral,false,
PK-5268,EMP7122,Day 30,Day 30,Belonging,9,Enjoying the projects.,2026-09-12 00:00:00,positive,false,
PK-5269,EMP7123,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",2026-06-28 00:00:00,neutral,false,
PK-5270,EMP7123,Day 30,Day 30,Belonging,6,Would like more 1:1 time.,19/07/2026,neutral,false,
PK-5271,EMP7124,Day 7,Day 7,Onboarding,6,Would like more 1:1 time.,Jul 29 2026,neutral,false,
PK-5272,EMP7125,Day 7,Day 7,Onboarding,7,"Good start, team is welcoming.",2026-07-20 00:00:00,positive,false,
PK-5273,EMP7125,Day 30,Day 30,Belonging,6,Smooth onboarding.,2026-08-18 00:00:00,positive,false,
PK-5274,EMP7125,Day 60,Day 60,Role Clarity,8,Enjoying the projects.,2026-09-12 00:00:00,positive,false,
PK-5275,EMP7126,Day 7,Day 7,Onboarding,6,Smooth onboarding.,17/08/2026,positive,false,
PK-5276,EMP7126,Day 30,Day 30,Belonging,9,Smooth onboarding.,Sep 14 2026,positive,false,
PK-5277,EMP7127,Day 7,Day 7,Onboarding,9,Smooth onboarding.,2026-08-13 00:00:00,positive,false,
PK-5278,EMP7127,Day 30,Day 30,Belonging,9,"Good start, team is welcoming.",2026-08-31 00:00:00,positive,false,
PK-5279,EMP7127,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,2026-09-28 00:00:00,neutral,false,
PK-5280,EMP7128,Day 7,Day 7,Onboarding,8,Enjoying the projects.,04/07/2026,positive,false,
PK-5281,EMP7128,Day 30,Day 30,Belonging,6,Would like more 1:1 time.,Jul 30 2026,neutral,false,
PK-5282,EMP7129,Day 7,Day 7,Onboarding,7,"Good start, team is welcoming.",2026-08-16 00:00:00,positive,false,
PK-5283,EMP7129,Day 30,Day 30,Belonging,9,"Clear enough, still learning.",2026-09-14 00:00:00,neutral,false,
PK-5284,EMP7130,Day 7,Day 7,Onboarding,6,Enjoying the projects.,2026-07-21 00:00:00,positive,false,
PK-5285,EMP7130,Day 30,Day 30,Belonging,7,Minor delays with access but resolved.,15/08/2026,neutral,false,
PK-5286,EMP7131,Day 7,Day 7,Onboarding,9,Minor delays with access but resolved.,May 28 2026,neutral,false,
PK-5287,EMP7131,Day 30,Day 30,Belonging,10,"Clear enough, still learning.",2026-06-18 00:00:00,neutral,false,
PK-5288,EMP7131,Day 60,Day 60,Role Clarity,10,Smooth onboarding.,2026-07-27 00:00:00,positive,false,
PK-5289,EMP7132,Day 7,Day 7,Onboarding,7,Enjoying the projects.,2026-05-12 00:00:00,positive,false,
PK-5290,EMP7132,Day 30,Day 30,Belonging,6,Would like more 1:1 time.,09/06/2026,neutral,false,
PK-5291,EMP7132,Day 60,Day 60,Role Clarity,9,Smooth onboarding.,Jul 4 2026,positive,false,
PK-5292,EMP7133,Day 7,Day 7,Onboarding,6,Smooth onboarding.,2026-05-25 00:00:00,positive,false,
PK-5293,EMP7133,Day 30,Day 30,Belonging,7,"Clear enough, still learning.",2026-06-24 00:00:00,neutral,false,
PK-5294,EMP7133,Day 60,Day 60,Role Clarity,10,"Good start, team is welcoming.",2026-07-19 00:00:00,positive,false,
PK-5295,EMP7134,Day 7,Day 7,Onboarding,10,"Good start, team is welcoming.",27/06/2026,positive,false,
PK-5296,EMP7134,Day 30,Day 30,Belonging,9,Enjoying the projects.,Jul 23 2026,positive,false,
PK-5297,EMP7134,Day 60,Day 60,Role Clarity,2,Workload is heavy and I am not sure my manager notices.,2026-08-21 00:00:00,negative,false,2
PK-5298,EMP7135,Day 7,Day 7,Onboarding,7,"Clear enough, still learning.",2026-08-26 00:00:00,neutral,false,
PK-5299,EMP7135,Day 30,Day 30,Belonging,8,Would like more 1:1 time.,2026-09-15 00:00:00,neutral,false,
PK-5300,EMP7135,Day 60,Day 60,Role Clarity,2,I keep chasing IT for access and it is wearing me down.,10/10/2026,negative,false,1
PK-5301,EMP7136,Day 7,Day 7,Onboarding,10,"Good start, team is welcoming.",Jun 1 2026,positive,false,
PK-5302,EMP7136,Day 30,Day 30,Belonging,8,Enjoying the projects.,2026-06-15 00:00:00,positive,false,
PK-5303,EMP7137,Day 7,Day 7,Onboarding,6,Smooth onboarding.,2026-08-10 00:00:00,positive,false,
PK-5304,EMP7137,Day 30,Day 30,Belonging,9,Enjoying the projects.,2026-09-01 00:00:00,positive,false,
PK-5305,EMP7137,Day 60,Day 60,Role Clarity,6,Minor delays with access but resolved.,02/10/2026,neutral,false,
PK-5306,EMP7138,Day 7,Day 7,Onboarding,,,,,false,
PK-5307,EMP7138,Day 30,Day 30,Belonging,3,I keep chasing IT for access and it is wearing me down.,2026-07-07 00:00:00,negative,false,5
PK-5308,EMP7138,Day 60,Day 60,Role Clarity,8,Smooth onboarding.,2026-08-05 00:00:00,positive,false,
PK-5309,EMP7139,Day 7,Day 7,Onboarding,9,Smooth onboarding.,2026-07-14 00:00:00,positive,false,
PK-5310,EMP7139,Day 30,Day 30,Belonging,10,Enjoying the projects.,29/07/2026,positive,false,
PK-5311,EMP7140,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",Jul 24 2026,neutral,false,
PK-5312,EMP7140,Day 30,Day 30,Belonging,10,"Good start, team is welcoming.",2026-08-12 00:00:00,positive,false,
PK-5313,EMP7141,Day 7,Day 7,Onboarding,7,Minor delays with access but resolved.,2026-07-27 00:00:00,neutral,false,
PK-5314,EMP7141,Day 30,Day 30,Belonging,6,Would like more 1:1 time.,2026-08-17 00:00:00,neutral,false,
PK-5315,EMP7141,Day 60,Day 60,Role Clarity,,,,,false,
PK-5316,EMP7142,Day 7,Day 7,Onboarding,8,Smooth onboarding.,Jul 26 2026,positive,false,
PK-5317,EMP7142,Day 30,Day 30,Belonging,7,"Clear enough, still learning.",2026-08-15 00:00:00,neutral,false,
PK-5318,EMP7143,Day 7,Day 7,Onboarding,,,,,false,
PK-5319,EMP7143,Day 30,Day 30,Belonging,6,"Good start, team is welcoming.",2026-07-23 00:00:00,positive,false,
PK-5320,EMP7144,Day 7,Day 7,Onboarding,8,Minor delays with access but resolved.,27/05/2026,neutral,false,
PK-5321,EMP7145,Day 7,Day 7,Onboarding,2,Workload is heavy and I am not sure my manager notices.,Aug 23 2026,negative,false,6
PK-5322,EMP7145,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,2026-09-11 00:00:00,neutral,false,
PK-5323,EMP7146,Day 7,Day 7,Onboarding,2,I keep chasing IT for access and it is wearing me down.,2026-08-17 00:00:00,negative,false,5
PK-5324,EMP7146,Day 30,Day 30,Belonging,6,Minor delays with access but resolved.,2026-09-07 00:00:00,neutral,false,
PK-5325,EMP7147,Day 7,Day 7,Onboarding,10,"Good start, team is welcoming.",17/05/2026,positive,false,
PK-5326,EMP7147,Day 30,Day 30,Belonging,2,I keep chasing IT for access and it is wearing me down.,Jun 1 2026,negative,false,2
PK-5327,EMP7147,Day 60,Day 60,Role Clarity,,,,,false,
PK-5328,EMP7148,Day 7,Day 7,Onboarding,6,Would like more 1:1 time.,2026-08-21 00:00:00,neutral,false,
PK-5329,EMP7148,Day 30,Day 30,Belonging,9,Smooth onboarding.,2026-09-14 00:00:00,positive,false,
PK-5330,EMP7149,Day 7,Day 7,Onboarding,9,Would like more 1:1 time.,27/06/2026,neutral,false,
PK-5331,EMP7149,Day 30,Day 30,Belonging,7,Minor delays with access but resolved.,Jul 22 2026,neutral,false,
PK-5332,EMP7149,Day 60,Day 60,Role Clarity,9,"Good start, team is welcoming.",2026-08-19 00:00:00,positive,false,
